Feature,Importance
HighBP,0.22556942680963515
GenHlth,0.19119658725099536
HighChol,0.14120686799265358
BMI,0.08014398499329912
Age,0.06576630277140853
DiffWalk,0.056370681066324854
Income,0.03415828665942569
PhysActivity,0.03030008270847054
HeartDiseaseorAttack,0.03002048239152737
Sex,0.028619063799502614
Smoker,0.021885760950537382
Education,0.021472150776891546
Fruits,0.015191097383317531
PhysHlth,0.01342518739437816
HvyAlcoholConsump,0.01063712118216147
